species	taxid	gene_stable_id	transcript_stable_id	protein_stable_id	primary_accession	secondary_accession
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1150	EAK88471	EAK88471	CM000429	EAK88471
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1160	EAK88470	EAK88470	CM000429	EAK88470
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1170	EAK88577	EAK88577	CM000429	EAK88577
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1180	EAK88469	EAK88469	CM000429	EAK88469
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1190	EAK88468	EAK88468	CM000429	EAK88468
Cryptosporidium_parvum_iowa_ii	353152	cgd1_120	EAK88536	EAK88536	CM000429	EAK88536
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1200	EAK88467	EAK88467	CM000429	EAK88467
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1210	EAK88465	EAK88465	CM000429	EAK88465
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1220	EAK88466	EAK88466	CM000429	EAK88466
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1230	EAK88461	EAK88461	CM000429	EAK88461
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1240	EAK88462	EAK88462	CM000429	EAK88462
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1250	EAK88460	EAK88460	CM000429	EAK88460
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1260	EAK88459	EAK88459	CM000429	EAK88459
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1270	EAK88576	EAK88576	CM000429	EAK88576
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1280	EAK88458	EAK88458	CM000429	EAK88458
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1290	EAK88457	EAK88457	CM000429	EAK88457
Cryptosporidium_parvum_iowa_ii	353152	cgd1_130	EAK88535	EAK88535	CM000429	EAK88535
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1300	EAK88456	EAK88456	CM000429	EAK88456
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1310	EAK88575	EAK88575	CM000429	EAK88575
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1320	EAZ51329	EAZ51329	CM000429	EAZ51329
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1330	EAZ51330	EAZ51330	CM000429	EAZ51330
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1340	EAK88455	EAK88455	CM000429	EAK88455
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1350	EAK88454	EAK88454	CM000429	EAK88454
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1360	EAK88453	EAK88453	CM000429	EAK88453
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1370	EAK88602	EAK88602	CM000429	EAK88602
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1380	EAK88452	EAK88452	CM000429	EAK88452
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1390	EAK88451	EAK88451	CM000429	EAK88451
Cryptosporidium_parvum_iowa_ii	353152	cgd1_140	EAK88534	EAK88534	CM000429	EAK88534
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1400	EAK88450	EAK88450	CM000429	EAK88450
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1410	EAK88449	EAK88449	CM000429	EAK88449
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1420	EAZ51331	EAZ51331	CM000429	EAZ51331
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1430	EAK88448	EAK88448	CM000429	EAK88448
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1440	EAK88447	EAK88447	CM000429	EAK88447
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1450	EAK88446	EAK88446	CM000429	EAK88446
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1460	EAK88445	EAK88445	CM000429	EAK88445
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1470	EAK88444	EAK88444	CM000429	EAK88444
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1480	EAK88441	EAK88441	CM000429	EAK88441
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1490	EAZ51332	EAZ51332	CM000429	EAZ51332
Cryptosporidium_parvum_iowa_ii	353152	cgd1_150	EAK88522	EAK88522	CM000429	EAK88522
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1500	EAK88443	EAK88443	CM000429	EAK88443
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1510	EAK88442	EAK88442	CM000429	EAK88442
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1520	EAK88440	EAK88440	CM000429	EAK88440
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1530	EAK88438	EAK88438	CM000429	EAK88438
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1540	EAK88439	EAK88439	CM000429	EAK88439
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1550	EAK88424	EAK88424	CM000429	EAK88424
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1560	EAK88437	EAK88437	CM000429	EAK88437
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1570	EAK88436	EAK88436	CM000429	EAK88436
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1580	EAK88574	EAK88574	CM000429	EAK88574
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1590	EAK88435	EAK88435	CM000429	EAK88435
Cryptosporidium_parvum_iowa_ii	353152	cgd1_160	EAK88531	EAK88531	CM000429	EAK88531
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1600	EAK88573	EAK88573	CM000429	EAK88573
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1610	EAK88433	EAK88433	CM000429	EAK88433
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1620	EAK88434	EAK88434	CM000429	EAK88434
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1625	cgd1_1625-1		CM000429	
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1630	EAK88432	EAK88432	CM000429	EAK88432
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1640	EAK88431	EAK88431	CM000429	EAK88431
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1650	EAK88430	EAK88430	CM000429	EAK88430
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1660	EAK88428	EAK88428	CM000429	EAK88428
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1670	EAK88429	EAK88429	CM000429	EAK88429
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1680	EAK88572	EAK88572	CM000429	EAK88572
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1690	EAK88427	EAK88427	CM000429	EAK88427
Cryptosporidium_parvum_iowa_ii	353152	cgd1_170	EAK88530	EAK88530	CM000429	EAK88530
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1700	EAK88426	EAK88426	CM000429	EAK88426
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1710	EAK88425	EAK88425	CM000429	EAK88425
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1720	EAK88423	EAK88423	CM000429	EAK88423
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1730	EAK88422	EAK88422	CM000429	EAK88422
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1740	EAK88421	EAK88421	CM000429	EAK88421
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1750	EAK88420	EAK88420	CM000429	EAK88420
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1760	EAK88419	EAK88419	CM000429	EAK88419
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1770	EAK88571	EAK88571	CM000429	EAK88571
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1780	EAK88418	EAK88418	CM000429	EAK88418
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1790	EAK88417	EAK88417	CM000429	EAK88417
Cryptosporidium_parvum_iowa_ii	353152	cgd1_180	EAK88529	EAK88529	CM000429	EAK88529
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1800	EAZ51333	EAZ51333	CM000429	EAZ51333
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1810	EAK88413	EAK88413	CM000429	EAK88413
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1820	EAK88416	EAK88416	CM000429	EAK88416
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1830	EAK88414	EAK88414	CM000429	EAK88414
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1840	EAK88415	EAK88415	CM000429	EAK88415
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1850	EAK88412	EAK88412	CM000429	EAK88412
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1860	EAK88410	EAK88410	CM000429	EAK88410
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1870	EAK88411	EAK88411	CM000429	EAK88411
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1880	EAK88409	EAK88409	CM000429	EAK88409
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1890	EAZ51334	EAZ51334	CM000429	EAZ51334
Cryptosporidium_parvum_iowa_ii	353152	cgd1_190	EAK88528	EAK88528	CM000429	EAK88528
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1900	EAK88408	EAK88408	CM000429	EAK88408
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1910	EAK88407	EAK88407	CM000429	EAK88407
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1920	EAK88406	EAK88406	CM000429	EAK88406
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1930	EAK88601	EAK88601	CM000429	EAK88601
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1940	EAK88398	EAK88398	CM000429	EAK88398
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1950	EAZ51335	EAZ51335	CM000429	EAZ51335
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1960	EAK88570	EAK88570	CM000429	EAK88570
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1970	EAK88403	EAK88403	CM000429	EAK88403
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1980	EAK88404	EAK88404	CM000429	EAK88404
Cryptosporidium_parvum_iowa_ii	353152	cgd1_1990	EAZ51336	EAZ51336	CM000429	EAZ51336
Cryptosporidium_parvum_iowa_ii	353152	cgd1_20	EAK88543	EAK88543	CM000429	EAK88543
Cryptosporidium_parvum_iowa_ii	353152	cgd1_200	EAZ51311	EAZ51311	CM000429	EAZ51311
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2000	EAK88405	EAK88405	CM000429	EAK88405
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2010	EAK88402	EAK88402	CM000429	EAK88402
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2020	EAK88401	EAK88401	CM000429	EAK88401
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2030	EAK88400	EAK88400	CM000429	EAK88400
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2040	EAK88569	EAK88569	CM000429	EAK88569
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2050	EAK88568	EAK88568	CM000429	EAK88568
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2060	EAZ51337	EAZ51337	CM000429	EAZ51337
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2070	EAK88397	EAK88397	CM000429	EAK88397
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2080	EAK88399	EAK88399	CM000429	EAK88399
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2090	EAK88395	EAK88395	CM000429	EAK88395
Cryptosporidium_parvum_iowa_ii	353152	cgd1_210	EAK88526	EAK88526	CM000429	EAK88526
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2100	EAZ51338	EAZ51338	CM000429	EAZ51338
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2110	EAK88396	EAK88396	CM000429	EAK88396
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2120	EAK88394	EAK88394	CM000429	EAK88394
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2130	EAK88392	EAK88392	CM000429	EAK88392
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2140	EAK88393	EAK88393	CM000429	EAK88393
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2150	EAK88391	EAK88391	CM000429	EAK88391
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2160	EAK88390	EAK88390	CM000429	EAK88390
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2170	EAK88389	EAK88389	CM000429	EAK88389
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2180	EAK88388	EAK88388	CM000429	EAK88388
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2190	EAK88387	EAK88387	CM000429	EAK88387
Cryptosporidium_parvum_iowa_ii	353152	cgd1_220	EAK88527	EAK88527	CM000429	EAK88527
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2200	EAK88386	EAK88386	CM000429	EAK88386
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2210	EAK88385	EAK88385	CM000429	EAK88385
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2220	EAK88384	EAK88384	CM000429	EAK88384
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2230	EAZ51339	EAZ51339	CM000429	EAZ51339
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2240	EAZ51340	EAZ51340	CM000429	EAZ51340
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2250	EAK88565	EAK88565	CM000429	EAK88565
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2260	EAK88383	EAK88383	CM000429	EAK88383
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2270	EAK88382	EAK88382	CM000429	EAK88382
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2280	EAZ51341	EAZ51341	CM000429	EAZ51341
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2290	EAK88567	EAK88567	CM000429	EAK88567
Cryptosporidium_parvum_iowa_ii	353152	cgd1_230	EAK88595	EAK88595	CM000429	EAK88595
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2300	EAK88273	EAK88273	CM000429	EAK88273
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2310	EAZ51342	EAZ51342	CM000429	EAZ51342
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2320	EAK88381	EAK88381	CM000429	EAK88381
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2330	EAK88378	EAK88378	CM000429	EAK88378
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2340	EAK88380	EAK88380	CM000429	EAK88380
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2350	EAK88379	EAK88379	CM000429	EAK88379
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2360	EAZ51343	EAZ51343	CM000429	EAZ51343
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2370	EAK88566	EAK88566	CM000429	EAK88566
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2380	EAK88275	EAK88275	CM000429	EAK88275
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2390	EAK88377	EAK88377	CM000429	EAK88377
Cryptosporidium_parvum_iowa_ii	353152	cgd1_240	EAK88525	EAK88525	CM000429	EAK88525
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2400	EAK88376	EAK88376	CM000429	EAK88376
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2410	EAK88600	EAK88600	CM000429	EAK88600
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2420	EAK88564	EAK88564	CM000429	EAK88564
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2430	EAK88375	EAK88375	CM000429	EAK88375
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2440	EAK88374	EAK88374	CM000429	EAK88374
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2450	EAK88373	EAK88373	CM000429	EAK88373
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2460	EAK88372	EAK88372	CM000429	EAK88372
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2470	EAZ51344	EAZ51344	CM000429	EAZ51344
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2480	EAZ51345	EAZ51345	CM000429	EAZ51345
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2490	EAZ51346	EAZ51346	CM000429	EAZ51346
Cryptosporidium_parvum_iowa_ii	353152	cgd1_250	EAZ51312	EAZ51312	CM000429	EAZ51312
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2500	EAK88371	EAK88371	CM000429	EAK88371
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2510	EAK88370	EAK88370	CM000429	EAK88370
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2520	EAK88369	EAK88369	CM000429	EAK88369
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2530	EAK88368	EAK88368	CM000429	EAK88368
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2540	EAK88367	EAK88367	CM000429	EAK88367
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2550	EAK88366	EAK88366	CM000429	EAK88366
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2560	EAK88365	EAK88365	CM000429	EAK88365
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2570	EAK88362	EAK88362	CM000429	EAK88362
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2580	EAK88363	EAK88363	CM000429	EAK88363
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2590	EAK88364	EAK88364	CM000429	EAK88364
Cryptosporidium_parvum_iowa_ii	353152	cgd1_260	EAK88524	EAK88524	CM000429	EAK88524
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2600	EAK88361	EAK88361	CM000429	EAK88361
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2610	EAK88513	EAK88513	CM000429	EAK88513
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2620	EAK88360	EAK88360	CM000429	EAK88360
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2630	EAK88599	EAK88599	CM000429	EAK88599
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2635	cgd1_2635-1		CM000429	
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2640	EAK88562	EAK88562	CM000429	EAK88562
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2650	EAZ51347	EAZ51347	CM000429	EAZ51347
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2660	EAK88563	EAK88563	CM000429	EAK88563
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2670	EAZ51348	EAZ51348	CM000429	EAZ51348
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2680	EAK88598	EAK88598	CM000429	EAK88598
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2690	EAZ51349	EAZ51349	CM000429	EAZ51349
Cryptosporidium_parvum_iowa_ii	353152	cgd1_270	EAK88605	EAK88605	CM000429	EAK88605
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2700	EAK88357	EAK88357	CM000429	EAK88357
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2710	EAK88359	EAK88359	CM000429	EAK88359
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2720	EAK88358	EAK88358	CM000429	EAK88358
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2730	EAK88352	EAK88352	CM000429	EAK88352
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2740	EAK88356	EAK88356	CM000429	EAK88356
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2750	EAK88355	EAK88355	CM000429	EAK88355
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2760	EAK88561	EAK88561	CM000429	EAK88561
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2770	EAK88354	EAK88354	CM000429	EAK88354
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2780	EAK88274	EAK88274	CM000429	EAK88274
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2790	EAZ51350	EAZ51350	CM000429	EAZ51350
Cryptosporidium_parvum_iowa_ii	353152	cgd1_280	EAK88523	EAK88523	CM000429	EAK88523
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2800	EAK88353	EAK88353	CM000429	EAK88353
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2810	EAK88597	EAK88597	CM000429	EAK88597
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2830	EAK88560	EAK88560	CM000429	EAK88560
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2840	EAK88559	EAK88559	CM000429	EAK88559
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2850	EAZ51351	EAZ51351	CM000429	EAZ51351
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2860	EAZ51352	EAZ51352	CM000429	EAZ51352
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2870	EAK88351	EAK88351	CM000429	EAK88351
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2880	EAK88558	EAK88558	CM000429	EAK88558
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2890	EAK88349	EAK88349	CM000429	EAK88349
Cryptosporidium_parvum_iowa_ii	353152	cgd1_290	EAK88594	EAK88594	CM000429	EAK88594
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2900	EAK88350	EAK88350	CM000429	EAK88350
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2910	EAZ51353	EAZ51353	CM000429	EAZ51353
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2920	EAK88348	EAK88348	CM000429	EAK88348
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2930	EAK88347	EAK88347	CM000429	EAK88347
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2940	EAZ51354	EAZ51354	CM000429	EAZ51354
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2950	EAZ51355	EAZ51355	CM000429	EAZ51355
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2960	EAK88557	EAK88557	CM000429	EAK88557
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2970	EAK88346	EAK88346	CM000429	EAK88346
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2980	EAK88553	EAK88553	CM000429	EAK88553
Cryptosporidium_parvum_iowa_ii	353152	cgd1_2990	EAK88345	EAK88345	CM000429	EAK88345
Cryptosporidium_parvum_iowa_ii	353152	cgd1_30	EAK88542	EAK88542	CM000429	EAK88542
Cryptosporidium_parvum_iowa_ii	353152	cgd1_300	EAK88593	EAK88593	CM000429	EAK88593
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3000	EAK88556	EAK88556	CM000429	EAK88556
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3010	EAK88344	EAK88344	CM000429	EAK88344
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3020	EAK88555	EAK88555	CM000429	EAK88555
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3030	EAK88343	EAK88343	CM000429	EAK88343
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3040	EAK88342	EAK88342	CM000429	EAK88342
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3050	EAK88341	EAK88341	CM000429	EAK88341
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3060	EAK88340	EAK88340	CM000429	EAK88340
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3070	EAK88339	EAK88339	CM000429	EAK88339
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3080	EAK88554	EAK88554	CM000429	EAK88554
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3090	EAK88338	EAK88338	CM000429	EAK88338
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3095	cgd1_3095-1		CM000429	
Cryptosporidium_parvum_iowa_ii	353152	cgd1_310	EAK88592	EAK88592	CM000429	EAK88592
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3100	EAK88337	EAK88337	CM000429	EAK88337
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3110	EAK88336	EAK88336	CM000429	EAK88336
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3120	EAK88335	EAK88335	CM000429	EAK88335
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3130	EAK88334	EAK88334	CM000429	EAK88334
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3140	EAK88552	EAK88552	CM000429	EAK88552
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3150	EAK88333	EAK88333	CM000429	EAK88333
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3160	EAK88332	EAK88332	CM000429	EAK88332
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3170	EAK88331	EAK88331	CM000429	EAK88331
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3180	EAK88330	EAK88330	CM000429	EAK88330
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3190	EAK88329	EAK88329	CM000429	EAK88329
Cryptosporidium_parvum_iowa_ii	353152	cgd1_320	EAK88591	EAK88591	CM000429	EAK88591
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3200	EAK88328	EAK88328	CM000429	EAK88328
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3210	EAK88327	EAK88327	CM000429	EAK88327
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3220	EAK88326	EAK88326	CM000429	EAK88326
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3230	EAK88551	EAK88551	CM000429	EAK88551
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3240	EAK88325	EAK88325	CM000429	EAK88325
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3250	EAK88324	EAK88324	CM000429	EAK88324
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3260	EAK88323	EAK88323	CM000429	EAK88323
Cryptosporidium_parvum_iowa_ii	353152	cgd1_3270	EAZ51356	EAZ51356	CM000429	EAZ51356
